,,,,US STOCKS,,,BONDS,,CASH,BILLS,INFLATION,,
,Morningstar,Yahoo,Ibbottson,,Ibbottson,Ibbottson,,Ibbottson,FRED (TB4WK),,Ibbottson,FRED (CPIAUCSL),
date,AGG,SP500TR,Large Caps,Spliced H+G,Mid-Treasuries,Mid-Corporate Bonds,Spliced B+40%F+60%G,30 day Treas Bills,4-Week Bill,Spliced I+J,,,Spliced L+M
8/27/1941,,,1.852,1.313,1.925,2.55,38.048,1.221,,1.221,0.829,,14.868
9/27/1941,,,1.839,1.304,1.925,2.562,38.167,1.221,,1.221,0.844,,15.137
10/27/1941,,,1.718,1.218,1.93,2.57,38.279,1.221,,1.221,0.853,,15.299
11/27/1941,,,1.67,1.184,1.912,2.546,37.922,1.221,,1.221,0.86,,15.424
12/27/1941,,,1.602,1.136,1.909,2.548,37.922,1.222,,1.222,0.862,,15.46
1/27/1942,,,1.627,1.153,1.923,2.549,38.024,1.222,,1.222,0.873,,15.658
2/27/1942,,,1.602,1.136,1.926,2.547,38.024,1.222,,1.222,0.881,,15.801
3/27/1942,,,1.497,1.061,1.93,2.563,38.21,1.222,,1.222,0.892,,15.998
4/27/1942,,,1.437,1.019,1.935,2.565,38.263,1.222,,1.222,0.898,,16.106
5/27/1942,,,1.552,1.1,1.938,2.57,38.332,1.222,,1.222,0.907,,16.267
6/27/1942,,,1.586,1.124,1.94,2.579,38.435,1.223,,1.223,0.909,,16.303
7/27/1942,,,1.64,1.163,1.94,2.584,38.484,1.223,,1.223,0.912,,16.357
8/27/1942,,,1.666,1.181,1.944,2.593,38.6,1.223,,1.223,0.918,,16.465
9/27/1942,,,1.715,1.216,1.939,2.598,38.617,1.224,,1.224,0.92,,16.5
10/27/1942,,,1.831,1.298,1.943,2.6,38.663,1.224,,1.224,0.929,,16.662
11/27/1942,,,1.827,1.295,1.946,2.601,38.693,1.225,,1.225,0.935,,16.77
12/27/1942,,,1.927,1.366,1.946,2.614,38.822,1.225,,1.225,0.942,,16.895
1/27/1943,,,2.07,1.468,1.953,2.627,38.997,1.225,,1.225,0.942,,16.895
2/27/1943,,,2.19,1.553,1.956,2.628,39.027,1.226,,1.226,0.944,,16.931
3/27/1943,,,2.31,1.638,1.96,2.634,39.113,1.226,,1.226,0.959,,17.2
4/27/1943,,,2.318,1.643,1.965,2.647,39.275,1.226,,1.226,0.97,,17.397
5/27/1943,,,2.446,1.734,1.976,2.659,39.467,1.227,,1.227,0.978,,17.541
6/27/1943,,,2.5,1.772,1.983,2.672,39.642,1.227,,1.227,0.976,,17.505
7/27/1943,,,2.368,1.679,1.987,2.677,39.718,1.227,,1.227,0.968,,17.361
8/27/1943,,,2.409,1.708,1.987,2.682,39.768,1.228,,1.228,0.965,,17.308
9/27/1943,,,2.472,1.753,1.99,2.684,39.808,1.228,,1.228,0.968,,17.361
10/27/1943,,,2.446,1.734,1.993,2.681,39.798,1.228,,1.228,0.972,,17.433
11/27/1943,,,2.286,1.621,1.996,2.675,39.758,1.229,,1.229,0.97,,17.397
12/27/1943,,,2.427,1.721,2,2.688,39.914,1.229,,1.229,0.972,,17.433
1/27/1944,,,2.468,1.75,2.003,2.693,39.983,1.229,,1.229,0.97,,17.397
2/27/1944,,,2.479,1.757,2.006,2.703,40.102,1.23,,1.23,0.968,,17.361
3/27/1944,,,2.527,1.792,2.01,2.716,40.258,1.23,,1.23,0.968,,17.361
4/27/1944,,,2.502,1.774,2.015,2.725,40.38,1.23,,1.23,0.974,,17.469
5/27/1944,,,2.628,1.863,2.016,2.726,40.397,1.231,,1.231,0.978,,17.541
6/27/1944,,,2.771,1.965,2.017,2.732,40.463,1.231,,1.231,0.98,,17.577
7/27/1944,,,2.717,1.926,2.023,2.741,40.592,1.231,,1.231,0.985,,17.666
8/27/1944,,,2.76,1.957,2.028,2.75,40.714,1.232,,1.232,0.989,,17.738
9/27/1944,,,2.758,1.955,2.03,2.755,40.777,1.232,,1.232,0.989,,17.738
10/27/1944,,,2.764,1.96,2.033,2.761,40.857,1.233,,1.233,0.989,,17.738
11/27/1944,,,2.801,1.986,2.034,2.774,40.992,1.233,,1.233,0.989,,17.738
12/27/1944,,,2.906,2.06,2.036,2.815,41.412,1.233,,1.233,0.993,,17.81
1/27/1945,,,2.952,2.093,2.047,2.837,41.704,1.233,,1.233,0.993,,17.81
2/27/1945,,,3.154,2.236,2.055,2.85,41.886,1.234,,1.234,0.991,,17.774
3/27/1945,,,3.015,2.137,2.056,2.855,41.942,1.234,,1.234,0.991,,17.774
4/27/1945,,,3.287,2.33,2.059,2.86,42.011,1.234,,1.234,0.993,,17.81
5/27/1945,,,3.351,2.376,2.061,2.857,41.995,1.235,,1.235,1,,17.935
6/27/1945,,,3.349,2.374,2.065,2.866,42.11,1.235,,1.235,1.009,,18.097
7/27/1945,,,3.288,2.331,2.065,2.863,42.081,1.235,,1.235,1.011,,18.133
8/27/1945,,,3.499,2.481,2.068,2.864,42.11,1.236,,1.236,1.011,,18.133
